Open,High,Low,Close,Volume,Ticker
13.623,13.645,13.465,13.56,73972,spyg
13.553,13.623,13.537,13.623,52132,spyg
13.532,13.532,13.245,13.263,130112,spyg
13.14,13.304,13.130999999999998,13.281,110500,spyg
13.349,13.428,13.284,13.425,94912,spyg
13.367,13.409,13.2,13.4,117188,spyg
13.428,13.461,13.32,13.442,152840,spyg
13.618,13.618,13.49,13.553,46784,spyg
13.627,13.643,13.574000000000002,13.616,137680,spyg
13.578,13.616,13.535,13.548,94912,spyg
13.62,13.734000000000002,13.569,13.706,239288,spyg
13.658,13.66,13.456,13.456,248184,spyg
13.517,13.555,13.409,13.526,112284,spyg
13.412,13.54,13.389,13.486,111760,spyg
13.566,13.65,13.476,13.65,130988,spyg
13.66,13.66,13.306,13.306,160080,spyg
13.436,13.436,13.021,13.212,159980,spyg
13.225,13.225,12.954,12.983,791356,spyg
12.781,12.970999999999998,12.745,12.745,122448,spyg
12.879,13.127,12.879,13.127,44124,spyg
13.324000000000002,13.324000000000002,13.012,13.034,45012,spyg
13.034,13.09,12.866,12.918,67284,spyg
12.981,13.025,12.913,13.012,64168,spyg
12.952,12.958,12.812,12.85,95356,spyg
12.922,13.012,12.728,12.890999999999998,141848,spyg
12.808,12.826,12.678,12.716,107616,spyg
12.803,12.898,12.768,12.832,823884,spyg
12.803,12.898,12.768,12.832,823884,spyg
12.896,12.963,12.622,12.622,100696,spyg
12.714,12.812,12.664,12.806,203188,spyg
12.819,13.248,12.819,13.16,266172,spyg
13.205,13.223,13.106,13.19,58820,spyg
13.373,13.373,13.130999999999998,13.207,1195216,spyg
13.277,13.277,13.14,13.144,109932,spyg
13.084,13.162,13.084,13.102,200072,spyg
13.297,13.304,13.22,13.284,69056,spyg
13.297,13.495,13.292,13.495,110064,spyg
13.504,13.53,13.452,13.493,424204,spyg
13.514,13.578,13.51,13.569,90456,spyg
13.634,13.634,13.21,13.263,284260,spyg
13.555,13.555,13.23,13.339,211432,spyg
13.342,13.342,13.203,13.33,243736,spyg
13.262,13.33,13.194,13.194,41748,spyg
